name	url
Saab	https://www.wheel-size.com/size/saab/
Saturn	https://www.wheel-size.com/size/saturn/
Scion	https://www.wheel-size.com/size/scion/
Seat	https://www.wheel-size.com/size/seat/
Sehol	https://www.wheel-size.com/size/sehol/
Seres	https://www.wheel-size.com/size/seres/
Skoda	https://www.wheel-size.com/size/skoda/
Skywell	https://www.wheel-size.com/size/skywell/
Smart	https://www.wheel-size.com/size/smart/
SsangYong	https://www.wheel-size.com/size/ssangyong/
Subaru	https://www.wheel-size.com/size/subaru/
Sunra	https://www.wheel-size.com/size/sunra/
Suzuki	https://www.wheel-size.com/size/suzuki/
Tata	https://www.wheel-size.com/size/tata/
Tesla	https://www.wheel-size.com/size/tesla/
Toyota	https://www.wheel-size.com/size/toyota/
Vauxhall	https://www.wheel-size.com/size/vauxhall/
VAZ	https://www.wheel-size.com/size/vaz/
Venucia	https://www.wheel-size.com/size/venucia/
VGV	https://www.wheel-size.com/size/vgv/
VinFast	https://www.wheel-size.com/size/vinfast/
Volkswagen	https://www.wheel-size.com/size/volkswagen/
Volvo	https://www.wheel-size.com/size/volvo/
Voyah	https://www.wheel-size.com/size/voyah/
Wey	https://www.wheel-size.com/size/wey/
Wuling	https://www.wheel-size.com/size/wuling/
Xiaomi	https://www.wheel-size.com/size/xiaomi/
XPeng	https://www.wheel-size.com/size/xpeng/
Zedriv	https://www.wheel-size.com/size/zedriv/
Zeekr	https://www.wheel-size.com/size/zeekr/
Zotye	https://www.wheel-size.com/size/zotye/
ZX	https://www.wheel-size.com/size/zx/
